clave	concepto	unidad	precio
NF17C	Instalación de tubos de concreto simple para drenaje, incluye: mortero cemento-arena 1:5 para junteo, maniobras necesarias en cualquier zona.		
NF17CC	Instalación de tubo de concreto simple de 15 cm de diámetro.	m	64.17
NF17CD	Instalación de tubo de concreto simple de 20 cm de diámetro.	m	67.12
NF17CE	Instalación de tubo de concreto simple de 25 cm de diámetro.	m	106.95
NF17CF	Instalación de tubo de concreto simple de 30 cm de diámetro.	m	118.77
NF17CG	Instalación de tubo de concreto simple de 38 cm de diámetro.	m	145.12
NF17CH	Instalación de tubo de concreto simple de 45 cm de diámetro.	m	152.58
NF17D	Instalación de tubos de concreto reforzado para conducción de agua de drenaje, incluye: mortero cemento-arena 1:5 para junteo, maniobras necesarias; en zona "A".		
NF17DH	Instalación de tubo de concreto reforzado en zona "A", de 45 cm de diámetro.	m	152.58
NF17DI	Instalación de tubo de concreto reforzado en zona "A", de 61 cm de diámetro.	m	219.19
NF17DJ	Instalación de tubo de concreto reforzado en zona "A", de 76 cm de diámetro.	m	289.33
NF17DK	Instalación de tubo de concreto reforzado en zona "A", de 91 cm de diámetro.	m	394.66
NF17DL	Instalación de tubo de concreto reforzado en zona "A", de 107 cm de diámetro.	m	469.66
NF17DM	Instalación de tubo de concreto reforzado en zona "A", de 122 cm de diámetro.	m	545.02
NF17DN	Instalación de tubo de concreto reforzado en zona "A", de 152 cm de diámetro.	m	616.26
NF17DO	Instalación de tubo de concreto reforzado en zona "A", de 183 cm de diámetro.	m	878.34
NF17DP	Instalación de tubo de concreto reforzado en zona "A", de 213 cm de diámetro.	m	1,106.93
NF17DQ	Instalación de tubo de concreto reforzado en zona "A", de 244 cm de diámetro.	m	1,485.14
NF17DR	Instalación de tubo de concreto reforzado en zona "A", de 305 cm de diámetro.	m	1,980.76
NF17E	Instalación de tubos de concreto reforzado para conducción de agua de drenaje, incluye: mortero cemento-arena 1:5 para junteo, maniobras necesarias, en zona "B".		
NF17EH	Instalación de tubo de concreto reforzado en zona "B", de 45 cm de diámetro.	m	221.16
NF17EI	Instalación de tubo de concreto reforzado en zona "B", de 61 cm de diámetro.	m	231.65
NF17EJ	Instalación de tubo de concreto reforzado en zona "B", de 76 cm de diámetro.	m	311.63
NF17EK	Instalación de tubo de concreto reforzado en zona "B", de 91 cm de diámetro.	m	429.54
NF17EL	Instalación de tubo de concreto reforzado en zona "B", de 107 cm de diámetro.	m	517.75
NF17EM	Instalación de tubo de concreto reforzado en zona "B", de 122 cm de diámetro.	m	601.36
NF17EN	Instalación de tubo de concreto reforzado en zona "B", de 152 cm de diámetro.	m	798.10
NF17EO	Instalación de tubo de concreto reforzado en zona "B", de 183 cm de diámetro.	m	976.66
NF17EP	Instalación de tubo de concreto reforzado en zona "B", de 213 cm de diámetro.	m	1,228.28
NF17EQ	Instalación de tubo de concreto reforzado en zona "B", de 244 cm de diámetro.	m	1,631.27
NF17ER	Instalación de tubo de concreto reforzado en zona "B", de 305 cm de diámetro.	m	2,089.66
NF17F	Instalación de tubos de concreto reforzado para conducción de agua de drenaje, incluye: mortero cemento-arena 1:5 para junteo, maniobras necesarias, en zona "C".		
NF17FH	Instalación de tubo de concreto reforzado en zona "C", de 45 cm de diámetro.	m	173.48
NF17FI	Instalación de tubo de concreto reforzado en zona "C", de 61 cm de diámetro.	m	245.83
NF17FJ	Instalación de tubo de concreto reforzado en zona "C", de 76 cm de diámetro.	m	345.39
NF17FK	Instalación de tubo de concreto reforzado en zona "C", de 91 cm de diámetro.	m	460.64
NF17FL	Instalación de tubo de concreto reforzado en zona "C", de 107 cm de diámetro.	m	563.84
NF17FM	Instalación de tubo de concreto reforzado en zona "C", de 122 cm de diámetro.	m	655.91
NF17FN	Instalación de tubo de concreto reforzado en zona "C", de 152 cm de diámetro.	m	850.74
NF17FO	Instalación de tubo de concreto reforzado en zona "C", de 183 cm de diámetro.	m	1,062.49
NF17FP	Instalación de tubo de concreto reforzado en zona "C", de 213 cm de diámetro.	m	1,354.10
NF17FQ	Instalación de tubo de concreto reforzado en zona "C", de 244 cm de diámetro.	m	1,763.43
NF17FR	Instalación de tubo de concreto reforzado en zona "C", de 305 cm de diámetro.	m	2,223.52
NF18	Suministro e Instalación de tubos de concreto para conducción de agua de drenaje en zona "A, B, ó C", incluye: los tubos, los materiales para la fabricación del mortero, agua, elementos de protección y señalamientos; la mano de obra para el acarreo libre horizontal y vertical, fabricación y colocación del mortero para la unión de los tubos, pruebas, limpieza, la herramienta y el equipo necesarios para la correcta ejecución de los trabajos.		
NF18B	Suministro e instalación de tubos de concreto para drenaje, incluye: mortero cemento-arena 1:5 para junteo, maniobras necesarias, en cualquier zona.		
NF18BC	Suministro e instalación de tubo de concreto de 15 cm de diámetro.	m	123.90
NF18BD	Suministro e instalación de tubo de concreto de 20 cm de diámetro.	m	136.13
NF18BE	Suministro e instalación de tubo de concreto de 25 cm de diámetro.	m	199.86
NF18BF	Suministro e instalación de tubo de concreto de 30 cm de diámetro.	m	222.54
NF18BG	Suministro e instalación de tubo de concreto de 38 cm de diámetro.	m	290.62
NF18BH	Suministro e instalación de tubo de concreto de 45 cm de diámetro.	m	403.62
NF18C	Suministro e instalación de tubos de concreto reforzado para conducción de agua de drenaje, incluye: mortero cemento-arena 1:5 para junteo, maniobras necesarias, en zona "A".		
NF18CH	Suministro e instalación de tubo de concreto reforzado en zona "A" de 45 cm de diámetro.	m	871.85
NF18CI	Suministro e instalación de tubo de concreto reforzado en zona "A" de 61 cm de diámetro.	m	1,134.18
NF18CJ	Suministro e instalación de tubo de concreto reforzado en zona "A" de 76 cm de diámetro.	m	1,528.71
NF18CK	Suministro e instalación de tubo de concreto reforzado en zona "A" de 91 cm de diámetro.	m	2,371.14
NF18CL	Suministro e instalación de tubo de concreto reforzado en zona "A" de 107 cm de diámetro.	m	2,985.93
NF18CM	Suministro e instalación de tubo de concreto reforzado en zona "A" de 122 cm de diámetro.	m	3,696.26
NF18CN	Suministro e instalación de tubo de concreto reforzado en zona "A" de 152 cm de diámetro.	m	5,630.01
NF18CO	Suministro e instalación de tubo de concreto reforzado en zona "A" de 183 cm de diámetro.	m	8,086.18
NF18CP	Suministro e instalación de tubo de concreto reforzado en zona "A" de 213 cm de diámetro.	m	10,659.91
NF18CQ	Suministro e instalación de tubo de concreto reforzado en zona "A" de 244 cm de diámetro.	m	13,847.96
NF18CR	Suministro e instalación de tubo de concreto reforzado en zona "A" de 305 cm de diámetro.	m	23,458.88
NF18D	Suministro e instalación de tubos de concreto reforzado para conducción de agua de drenaje, incluye: mortero cemento-arena 1:5 para junteo, maniobras necesarias en zona "B".		
NF18DH	Suministro e instalación de tubo de concreto reforzado en zona "B" de 45 cm de diámetro.	m	884.20
NF18DI	Suministro e instalación de tubo de concreto reforzado en zona "B" de 61 cm de diámetro.	m	1,146.63
NF18DJ	Suministro e instalación de tubo de concreto reforzado en zona "B" de 76 cm de diámetro.	m	1,551.00
NF18DK	Suministro e instalación de tubo de concreto reforzado en zona "B" de 91 cm de diámetro.	m	2,406.01
NF18DL	Suministro e instalación de tubo de concreto reforzado en zona "B" de 107 cm de diámetro.	m	3,034.02
NF18DM	Suministro e instalación de tubo de concreto reforzado en zona "B" de 122 cm de diámetro.	m	3,752.60
NF18DN	Suministro e instalación de tubo de concreto reforzado en zona "B" de 152 cm de diámetro.	m	5,799.57
NF18DO	Suministro e instalación de tubo de concreto reforzado en zona "B" de 183 cm de diámetro.	m	8,167.93
NF18DP	Suministro e instalación de tubo de concreto reforzado en zona "B" de 213 cm de diámetro.	m	10,752.89
NF18DQ	Suministro e instalación de tubo de concreto reforzado en zona "B" de 244 cm de diámetro.	m	13,994.09
NF18DR	Suministro e instalación de tubo de concreto reforzado en zona "B" de 305 cm de diámetro.	m	23,567.78
NF18E	Suministro e instalación de tubos de concreto reforzado para conducción de adua de drenaje, incluye: mortero cemento-arena 1:5 para junteo, maniobras necesarias en zona "C".		
NF18EH	Suministro e instalación de tubo de concreto reforzado en zona "C" de 45 cm de diámetro.	m	892.75
NF18EI	Suministro e instalación de tubo de concreto reforzado en zona "C" de 61 cm de diámetro.	m	1,160.81
NF18EJ	Suministro e instalación de tubo de concreto reforzado en zona "C" de 76 cm de diámetro.	m	1,584.76
NF18EK	Suministro e instalación de tubo de concreto reforzado en zona "C" de 91 cm de diámetro.	m	2,437.11
NF18EL	Suministro e instalación de tubo de concreto reforzado en zona "C" de 107 cm de diámetro.	m	3,080.11
NF18EM	Suministro e instalación de tubo de concreto reforzado en zona "C" de 122 cm de diámetro.	m	3,807.15
NF18EN	Suministro e instalación de tubo de concreto reforzado en zona "C" de 152 cm de diámetro.	m	5,852.20
NF18EO	Suministro e instalación de tubo de concreto reforzado en zona "C" de 183 cm de diámetro.	m	8,253.77
NF18EP	Suministro e instalación de tubo de concreto reforzado en zona "C" de 213 cm de diámetro.	m	10,878.68
NF18EQ	Suministro e instalación de tubo de concreto reforzado en zona "C" de 244 cm de diámetro.	m	14,126.26
NF18ER	Suministro e instalación de tubo de concreto reforzado en zona "C" de 305 cm de diámetro.	m	23,701.66
NF18F	Suministro e instalación de tubos de concreto reforzado para conducción de agua de drenaje, incluye: mortero cemento-arena 1:5 para junteo, maniobras necesarias en cualquier zona.		
NF18FF	Suministro e instalación de tubo de concreto de 30 cm de diámetro.	m	634.69
NF18FG	Suministro e instalación de tubo de concreto de 38 cm de diámetro.	m	753.90
NF19D	Suministro e instalación de tubos de concreto reforzado, con junta hermética, en zona "B".		
NF19DH	Suministro e instalación de tubo de concreto reforzado, con junta hermética, en zona "B" de 45 cm de diámetro.	m	982.18
NF19DI	Suministro e instalación de tubo de concreto reforzado, con junta hermética, en zona "B" de 61 cm de diámetro.	m	1,274.22
NF19DJ	Suministro e instalación de tubo de concreto reforzado, con junta hermética, en zona "B" de 76 cm de diámetro.	m	1,683.29
NF19DK	Suministro e instalación de tubo de concreto reforzado, con junta hermética, en zona "B" de 91 cm de diámetro.	m	2,780.07
NF19DL	Suministro e instalación de tubo de concreto reforzado, con junta hermética, en zona "B" de 107 cm de diámetro.	m	3,425.28
NF19DM	Suministro e instalación de tubo de concreto reforzado, con junta hermética, en zona "B" de 122 cm de diámetro.	m	4,204.93
NF19DN	Suministro e instalación de tubo de concreto reforzado, con junta hermética, en zona "B" de 152 cm de diámetro.	m	6,532.64
NF19DO	Suministro e instalación de tubo de concreto reforzado, con junta hermética, en zona "B" de 183 cm de diámetro.	m	9,247.19
NF19DP	Suministro e instalación de tubo de concreto reforzado, con junta hermética, en zona "B" de 213 cm de diámetro.	m	12,092.55
NF19DQ	Suministro e instalación de tubo de concreto reforzado, con junta hermética, en zona "B" de 244 cm de diámetro.	m	15,676.10
NF19DR	Suministro e instalación de tubo de concreto reforzado, con junta hermética, en zona "B" de 305 cm de diámetro.	m	27,220.94
NF20H	Suministro, instalación y pruebas de tubos de polietileno alta densidad, corrugado, de doble pared tipo "B", con campana bicapa o reforzada integrada y empaque, para drenaje, marca Tododren o similar, incluye: los materiales la mano de obra , la herramienta, y el equipo necesarios.		
NF20HD	Suministro e instalación de tubo de polietileno alta densidad, corrugado, de 102 mm (4") de diámetro, con campana bicapa o reforzada y empaque.	m	66.80
NF20HE	Suministro e instalación de tubo de polietileno alta densidad, corrugado, de 152 mm (6") de diámetro, con campana bicapa o reforzada y empaque.	m	130.97
NF20HG	Suministro e instalación de tubo de polietileno alta densidad, corrugado, de 203 mm (8") de diámetro, con campana bicapa o reforzada y empaque.	m	214.60
NF20HI	Suministro e instalación de tubo de polietileno alta densidad, corrugado, de 254 mm (10") de diámetro, con campana bicapa o reforzada y empaque.	m	317.80
NF20HJ	Suministro e instalación de tubo de polietileno alta densidad, corrugado, de 305 mm (12") de diámetro, con campana bicapa o reforzada y empaque.	m	435.55
NF20HK	Suministro e instalación de tubo de polietileno alta densidad, corrugado, de 381 mm (15") de diámetro, con campana bicapa o reforzada y empaque.	m	598.83
NF20HL	Suministro e instalación de tubo de polietileno alta densidad, corrugado, de 457 mm (18") de diámetro, con campana bicapa o reforzada y empaque.	m	841.88
NF20HM	Suministro e instalación de tubo de polietileno alta densidad, corrugado, de 610 mm (24") de diámetro, con campana bicapa o reforzada y empaque.	m	1,426.07
NH20HN	Suministro e instalación de tubo de polietileno alta densidad, corrugado, de 762 mm (30") de diámetro, con campana bicapa o reforzada y empaque.	m	1,956.20
NH20HP	Suministro e instalación de tubo de polietileno alta densidad, corrugado, de 914 mm (36") de diámetro, con campana bicapa o reforzada y empaque.	m	2,371.08
NH20HR	Suministro e instalación de tubo de polietileno alta densidad, corrugado, de 1067 mm (42") de diámetro, con campana bicapa o reforzada y empaque.	m	3,388.79
NH20HS	Suministro e instalación de tubo de polietileno alta densidad, corrugado, de 1219 mm (48") de diámetro, con campana bicapa o reforzada y empaque.	m	4,186.31
NH20HT	Suministro e instalación de tubo de polietileno alta densidad, corrugado, de 1524 mm (60") de diámetro, con campana bicapa o reforzada y empaque.	m	6,231.25
NG	Suministro e Instalación de codo y slant en tubos de concreto para conducción de agua de drenaje, incluye: el codo y slant, los materiales para la fabricación del mortero, agua; la mano de obra para la fabricación y colocación del mortero para la unión, pruebas, limpieza, la herramienta y el equipo necesarios para la correcta ejecución de los trabajos. Norma de Construcción de la Administración Pública de la Ciudad de México 3.01.01.022		
NG19B	Suministro e instalación de codos y Slant de concreto.		
NG19BB	Suministro e instalación de codo de concreto de 45° X 15 cm de diámetro y slant	juego	262.20
NG19BC	Suministro e instalación de codo de concreto de 45° X 20 cm de diámetro y slant	juego	334.45
NG19C	Suministro e instalación de codos de concreto de 90°.		
NG19CB	Suministro e instalación de codo de concreto de 90° X 15 cm de diámetro.	pieza	170.79
NG19CE	Suministro e instalación de codo de concreto de 90° X 10 cm de diámetro.	pieza	155.33
NG19D	Suministro e instalación de Slant de concreto.		
NG19DB	Suministro e instalación de slant de concreto, de 10 cm de diámetro.	pieza	115.59
NG19DC	Suministro e instalación de slant de concreto, de 15 cm de diámetro.	pieza	133.42
NG19DD	Suministro e instalación de slant de concreto, de 20 cm de diámetro.	pieza	176.93
NI	Construcción de pozo de visita acabado común, sobre tubo, incluye: el tabique rojo recocido, el concreto, el mortero, acero de refuerzo, escalones, brocal, tapa, madera; la mano de obra para el trazo, nivelación, fabricación y colocación del mortero y concreto, el tabique, aplanado interior, acabado pulido, el habilitado y colocación del acero, la madera, el brocal, limpieza, la herramienta y el equipo necesarios para la correcta ejecución de los trabajos. Norma de Construcción de la Administración Pública de la Ciudad de México 3.01.01.022.		
N120J	Suministro, instalación y pruebas de tubo de PVC , de doble pared ultra R-46, uso alcantarillado, pluvial, marca Durman o similar.		
NI20JB	Suministro, instalación y pruebas de tubo de pvc corrugado para alcantarillado, de 102 mm (4") de diámetro.	m	99.55
NI20JC	Suministro, instalación y pruebas de tubo de pvc corrugado para alcantarillado, de 152 mm (6") de diámetro.	m	131.33
NI20JD	Suministro, instalación y pruebas de tubo de pvc corrugado para alcantarillado, de 203 mm (8") de diámetro.	m	205.35
NI20JE	Suministro, instalación y pruebas de tubo de pvc corrugado para alcantarillado, de 254 mm (10") de diámetro.	m	281.17
NI20JF	Suministro, instalación y pruebas de tubo de pvc corrugado para alcantarillado, de 305 mm (12") de diámetro.	m	405.19
NI20JG	Suministro, instalación y pruebas de tubo de pvc corrugado para alcantarillado, de 381 mm (15") de diámetro.	m	638.20
NI20JH	Suministro, instalación y pruebas de tubo de pvc corrugado para alcantarillado, de 457 mm (18") de diámetro.	m	914.02
NI21B	Pozos de visita sobre tubos de 0.30 a 0.61 m de diámetro con muro de tabique rojo recocido de 0.28 m de espesor, colocado a tizón, desplantado sobre firme de concreto f'c = 150 kg/cm2, junteado y aplanado interior con mortero 1:4, pulido con cemento, trabe de concreto de f'c = 150 kg/cm2 en aperturas para recibir los tubos, suministro y colocación de escalones marinos, brocal y tapa de concreto.		
NI21BB	Pozo de visita sobre tubo de 0.30 a 0.61 m de diámetro con profundidad a rasante hidráulica de 1.50 m.	pieza	6,839.26
NI21BC	Pozo de visita sobre tubo de 0.30 a 0.61 m de diámetro con profundidad a rasante hidráulica de 1.75 m.	pieza	8,227.30
NI21BD	Pozo de visita sobre tubo de 0.30 a 0.61 m de diámetro con profundidad a rasante hidráulica de 2.00 m.	pieza	9,178.27
NI21BE	Pozo de visita sobre tubo de 0.30 a 0.61 m de diámetro con profundidad a rasante hidráulica de 2.25 m.	pieza	10,025.12
NI21BF	Pozo de visita sobre tubo de 0.30 a 0.61 m de diámetro con profundidad a rasante hidráulica de 2.50 m.	pieza	11,087.07
NI21BG	Pozo de visita sobre tubo de 0.30 a 0.61 m de diámetro con profundidad a rasante hidráulica de 2.75 m.	pieza	13,256.30
NI21BH	Pozo de visita sobre tubo de 0.30 a 0.61 m de diámetro con profundidad a rasante hidráulica de 3.00 m.	pieza	13,598.29
NI21BI	Pozo de visita sobre tubo de 0.30 a 0.61 m de diámetro con profundidad a rasante hidráulica de 3.25 m.	pieza	15,175.15
NI21BJ	Pozo de visita sobre tubo de 0.30 a 0.61 m de diámetro con profundidad a rasante hidráulica de 3.50 m.	pieza	16,178.08
NI21BK	Pozo de visita sobre tubo de 0.30 a 0.61 m de diámetro con profundidad a rasante hidráulica de 3.75 m.	pieza	17,260.76
NI21BL	Pozo de visita sobre tubo de 0.30 a 0.61 m de diámetro con profundidad a rasante hidráulica de 4.00 m.	pieza	18,713.94
NI21BM	Pozo de visita sobre tubo de 0.30 a 0.61 m de diámetro con profundidad a rasante hidráulica de 4.25 m.	pieza	19,999.26
NI21BN	Pozo de visita sobre tubo de 0.30 a 0.61 m de diámetro con profundidad a rasante hidráulica de 4.50 m.	pieza	21,299.49
NI21BO	Pozo de visita sobre tubo de 0.30 a 0.61 m de diámetro con profundidad a rasante hidráulica de 4.75 m.	pieza	22,552.33
NI21C	Pozos de visita sobre tubos de 0.76 a 0.91 m de diámetro con muro de tabique rojo recocido de 0.28 m de espesor, colocado a tizón, desplantado sobre firme de concreto f'c = 150 kg/cm2, junteado y aplanado interior con mortero 1:4, pulido con cemento, trabe de concreto de f'c = 150 kg/cm2 en aperturas para recibir los tubos, suministro y colocación de escalones marinos, brocal y tapa.		
NI21CB	Pozo de visita sobre tubo de 0.76 a 0.91m de diámetro, con profundidad a rasante hidráulica de 2.50 m.	pieza	11,114.47
NI21CC	Pozo de visita sobre tubo de 0.76 a 0.91m de diámetro, con profundidad a rasante hidráulica de 2.75 m.	pieza	11,793.55
NI21CD	Pozo de visita sobre tubo de 0.76 a 0.91m de diámetro, con profundidad a rasante hidráulica de 3.00 m.	pieza	12,687.75
NI21CE	Pozo de visita sobre tubo de 0.76 a 0.91m de diámetro, con profundidad a rasante hidráulica de 3.25 m.	pieza	12,979.60
NI21CF	Pozo de visita sobre tubo de 0.76 a 0.91m de diámetro, con profundidad a rasante hidráulica de 3.50 m.	pieza	15,522.99
NI21CG	Pozo de visita sobre tubo de 0.76 a 0.91m de diámetro, con profundidad a rasante hidráulica de 3.75 m.	pieza	16,871.44
NI21CH	Pozo de visita sobre tubo de 0.76 a 0.91m de diámetro, con profundidad a rasante hidráulica de 4.00 m.	pieza	18,209.27
NI21CI	Pozo de visita sobre tubo de 0.76 a 0.91m de diámetro, con profundidad a rasante hidráulica de 4.25 m.	pieza	19,284.97
NI21CJ	Pozo de visita sobre tubo de 0.76 a 0.91m de diámetro, con profundidad a rasante hidráulica de 4.50 m.	pieza	20,584.59
NI21CK	Pozo de visita sobre tubo de 0.76 a 0.91m de diámetro, con profundidad a rasante hidráulica de 4.75 m.	pieza	21,866.60
NI21CL	Pozo de visita sobre tubo de 0.76 a 0.91m de diámetro, con profundidad a rasante hidráulica de 5.00 m.	pieza	23,166.22
NI21CM	Pozo de visita sobre tubo de 0.76 a 0.91m de diámetro, con profundidad a rasante hidráulica de 5.25 m.	pieza	24,455.19
O	Construcción de sistemas de agua potable. Norma de Construcción de la Administración Pública de la Ciudad de México 3.01.01.025.		
OD	Instalación de tubos.		
OD13	Instalación de tubos, incluye: la mano de obra, la herramienta y el equipo necesarios.		
OD14	Instalación de tubos de polietileno de alta densidad, incluye: acarreo libre hasta 20 m, bajada al fondo de la zanja, acomodo, alineación, rebabeo y unión a tope por termofusión.		
OD14BE	Instalación de tubo de polietileno de 101 mm (4") de diámetro.	m	23.07
OD14BF	Instalación de tubo de polietileno de 152 mm (6") de diámetro.	m	28.87
OD14BG	Instalación de tubo de polietileno de 203 mm (8") de diámetro.	m	30.94
OD14BH	Instalación de tubo de polietileno de 254 mm (10") de diámetro.	m	33.33
OD14BI	Instalación de tubo de polietileno de 305 mm (12") de diámetro.	m	39.40
OD14BK	Instalación de tubo de polietileno de 406 mm (16") de diámetro.	m	61.90
OD14BM	Instalación de tubo de polietileno de 508 mm (20") de diámetro.	m	86.78
OD15	Tubos Lock-Joint.		
OD15B	Instalación de tubos de concreto tensado previamente, en zona "A", incluye: acarreo libre hasta 20 m, bajada al fondo de la zanja, acomodo, alineación y unión.		
OD15BM	Instalación de tubo de concreto tensado previamente, de 122 cm de diámetro, zona "A".	m	542.85
OD15BO	Instalación de tubo de concreto tensado previamente, de 183 cm de diámetro, zona "A".	m	896.11
OD15C	Instalación de tubos de concreto con acero tensado previamente, zona "B", incluye: acarreo libre hasta 20 m, bajada al fondo de la zanja, acomodo, alineación y unión.		
OD15CM	Instalación de tubo de concreto tensado previamente, de 122 cm de diámetro, zona "B".	m	597.19
OD15CO	Instalación de tubo de concreto tensado previamente, de 183 cm de diámetro, zona "B".	m	976.00
OD15D	Instalación de tubos de concreto con acero tensado previamente, zona "C", incluye: acarreo libre hasta 20 m, bajada al fondo de la zanja, acomodo, alineación y unión.		
OD15DM	Instalación de tubo de concreto tensado previamente, de 122 cm de diámetro, zona "C".	m	675.44
OD15DO	Instalación de tubo de concreto tensado previamente, de 183 cm de diámetro, zona "C".	m	1,087.36
OE	Suministro e instalación de tubos del material que se indique en el proyecto, para conducción de agua potable, en cualquier zona, incluye: el tubo, mortero, empaques, pegamento de contacto, soldadura en su caso, agua para pruebas, elementos para señalamiento y protección, desperdicios; la mano de obra para el acarreo libre horizontal y vertical, alineación, instalación, pruebas, limpieza, la herramienta y el equipo necesarios para la correcta ejecución de los trabajos. Norma de Construcción de la Administración Pública de la Ciudad de México 3.01.01.025.		
OE12B	Suministro, instalación y prueba hidrostática de tubos de acero, incluye: acarreo libre hasta 20 m, bajada al fondo de la zanja, acomodo y alineación y unión.		
OE12BE	Suministro e instalación de tubo de acero soldable, cédula 40, de 101 mm de diámetro.	m	977.99
OE12BF	Suministro e instalación de tubo de acero soldable, cédula 40, de 152 mm de diámetro.	m	1,380.27
OE12BG	Suministro e instalación de tubo de acero soldable, cédula 40, de 203 mm de diámetro.	m	2,023.86
OE12BH	Suministro e instalación de tubo de acero soldable, cédula 40, de 254 mm de diámetro.	m	2,947.86
OE12BI	Suministro e instalación de tubo de acero soldable, cédula 40, de 305 mm de diámetro.	m	3,833.15
OE12BJ	Suministro e instalación de tubo de acero soldable, cédula 40, de 355 mm de diámetro.	m	5,857.72
OE12BK	Suministro e instalación de tubo de acero soldable, cédula 40 de 406 mm de diámetro.	m	6,917.40
OE12BL	Suministro e instalación de tubo de acero soldable, standard de 457 mm de diámetro.	m	6,185.35
OE12BM	Suministro e instalación de tubo de acero soldable, standard de 508 mm de diámetro.	m	7,077.15
OE14	Tubos de polietileno de alta densidad.		
OE14B	Suministro e instalación de tubos de polietileno de alta densidad RD- 13.5,incluye: acarreo libre hasta 20 m, alineación, corte, esmerilado, unión a tope por termofusión, bajada al fondo de la zanja y colocación.		
OE14BB	Suministro e instalación de tubo de polietileno alta densidad, de 51 mm (2") de diámetro, RD 13.5	m	86.32
OE14BC	Suministro e instalación de tubo de polietileno alta densidad, de 63 mm de (2 1/2") diámetro, RD 13.5	m	110.69
OE14BD	Suministro e instalación de tubo de polietileno alta densidad de 76 mm de (3") diámetro, RD-13.5.	m	180.31
OE14BE	Suministro e instalación de tubo de polietileno alta densidad, de 102 mm (4") de diámetro, RD-13.5	m	307.48
OE14BF	Suministro e instalación de tubo de polietileno alta densidad de 152 mm (6") de diámetro, RD-13.5	m	645.30
OE14BG	Suministro e instalación de tubo de polietileno alta densidad, de 203 mm (8") de diámetro, RD-13.5	m	1,059.35
OE14BH	Suministro e instalación de tubo de polietileno alta densidad de 254 mm (10") de diámetro, RD-13.5	m	1,604.26
OE14BI	Suministro e instalación de tubo de polietileno alta densidad de 305 mm (12") de diámetro, RD-13.5	m	2,307.52
OE14BJ	Suministro e instalación de tubo de polietileno alta densidad de 356 mm (14") de diámetro, RD-13.5	m	2,728.93
OE14BK	Suministro e instalación de tubo de polietileno alta densidad de 406 mm (16") de diámetro, RD-13.5	m	3,580.44
OE14BL	Suministro e instalación de tubo de polietileno alta densidad de 457 mm (18") de diámetro, RD-13.5	m	4,516.80
OE14BM	Suministro e instalación de tubo de polietileno alta densidad de 508 mm (20") de diámetro, RD-13.5	m	5,578.60
OE14C	Suministro e instalación de tubos de polietileno de alta densidad RD-17, incluye: acarreo libre hasta 20 m, alineación, corte, esmerilado, unión a tope por termofusión, bajada al fondo de la zanja, acomodo y colocación.		
OE14CB	Suministro e instalación de tubo de polietileno alta densidad de 51 mm (2") de diámetro, RD-17	m	71.55
OE14CC	Suministro e instalación de tubo de polietileno alta densidad de 63 mm (2 1/2") de diámetro, RD-17	m	97.45
OE14CD	Suministro e instalación de tubo de polietileno alta densidad de 76 mm (3") de diámetro, RD-17	m	148.23
OE14CE	Suministro e instalación de tubo de polietileno alta densidad de 102 mm de (4") diámetro, RD-17	m	252.22
OE14CF	Suministro e instalación de tubo de polietileno alta densidad de 152 mm (6") de diámetro, RD-17	m	541.67
OE14CG	Suministro e instalación de tubo de polietileno alta densidad de 203 mm (8") de diámetro, RD-17	m	871.69
OE14CH	Suministro e instalación de tubo de polietileno alta densidad de 254 mm (10") de diámetro, RD-17	m	1,349.18
OE14CI	Suministro e instalación de tubo de polietileno alta densidad de 305 mm (12") de diámetro, RD-17	m	1,876.96
OE14CJ	Suministro e instalación de tubo de polietileno alta densidad de 356 mm (14") de diámetro, RD-17	m	2,239.04
OE14CK	Suministro e instalación de tubo de polietileno alta densidad de 406 mm (16") de diámetro, RD-17	m	2,914.12
OE14CL	Suministro e instalación de tubo de polietileno alta densidad de 457 mm (18") de diámetro, RD-17	m	3,590.26
OE14CM	Suministro e instalación de tubo de polietileno alta densidad de 508 mm (20") de diámetro, RD-17	m	4,532.38
OG12	Suministro e instalación de toma domiciliaria, incluye: la abrazadera con derivación roscada, válvula de inserción, adaptador de compresión, y tubo de polietileno; la mano de obra para el acarreo libre horizontal y vertical, instalación, pruebas, limpieza, la herramienta y el equipo necesarios para la correcta ejecución de los trabajos.		
OG12BB	Suministro, instalación y pruebas de toma domiciliaria, incluye: abrazadera de P.V.C. con derivación roscada de 50 X 13 mm, válvula de inserción, adaptador de compresión y 6 m de tubo de PEAD, de 13 mm de diámetro.	toma	394.51
OG12BC	Suministro, instalación y pruebas de toma domiciliaria, incluye: abrazadera de P.V.C. con derivación roscada de 60 X 13 mm válvula de inserción, adaptador de compresión y 6 m de tubo de PEAD, de 13 mm de diámetro.	toma	398.98
OG12BD	Suministro, instalación y pruebas de toma domiciliaria, incluye: abrazadera de P.V.C. con derivación roscada de 75 X 13 mm, válvula de inserción, adaptador de compresión y 6 m de tubo de PEAD, de 13 mm de diámetro.	toma	407.93
OG12BE	Suministro, instalación y pruebas de toma domiciliaria, incluye: abrazadera de P.V.C. con derivación roscada de 100 X 13 mm válvula de inserción, adaptador de compresión y 6 m de tubo de PEAD, de 13 mm de diámetro.	toma	447.98
